,negative,neutral,positive,Wishful,Logical
1 : Anna McMichael_ITHYF5,1,0,1,1,0
2 : Anna Raupach_ITHYF5,0,0,0,0,0
3 : Associate Professor Alex Sen Gupta_ITHYF5,1,0,2,0,1
4 : Dr Agus Santoso_ITHYF5,1,0,1,1,0
5 : Dr Ailie Gallant_ITHYF5,4,1,4,1,0
6 : Dr Jennie Mallela_ITHYF5,7,0,2,0,1
7 : Dr John Fasullo_ITHYF5,1,0,5,0,0
8 : Dr Kevin E Trenberth_ITHYF5,1,0,0,0,0
9 : Dr Roger Bodman_ITHYF5,1,0,1,1,0
10 : Dr Sarah Perkins_ITHYF5,1,1,1,1,0
11 : Emiratus Professor Will Steffen_ITHYF5,4,0,0,0,0
12 : Professor Andy Pitman_ITHYF5,2,1,3,1,1
13 : Professor Corey J Bradshaw_ITHYF5,2,1,0,0,0
14 : Professor David Griggs_ITHYF5,5,2,1,0,0
15 : Professor Gabi Hegerl,3,0,1,1,0
16 : Professor James Byrne_ITHYF5,5,0,2,0,0
17 : Professor Katrin Meissner_ITHYF5,4,0,0,0,0
18 : Professor Lesley Hughes_ITHYF5,2,0,4,1,0
19 : Professor Mark Maslin_ITHYF5,0,0,2,0,0
20 : Professor Nathan Bindoff_ITHYF5,0,0,0,0,0
21 : Professor Stefan Rahmstorf_ITHYF5,1,0,2,1,1
22 : Professor Steven Sherwood_ITHYF5,1,0,0,0,0
23 : Richard C. J. Somerville_ITHYF5,0,0,0,0,0